Lat,Lon
21.0015167,105.8226500
21.0016667,105.8226667
21.0017833,105.8226500
21.0019167,105.8227000
21.0020667,105.8227000
21.0022000,105.8227333
21.0022833,105.8228167
21.0022833,105.8229000
21.0022500,105.8230833
21.0021833,105.8232667
21.0021167,105.8234333
21.0020333,105.8236000
21.0019833,105.8238000
21.0019167,105.8240167
21.0018500,105.8242000
21.0018000,105.8243667
21.0017833,105.8245167
21.0017833,105.8246667
21.0017833,105.8248167
21.0017833,105.8249833
21.0006667,105.8255167
21.0008833,105.8259167
21.0009167,105.8262000
21.0009333,105.8264667
21.0009833,105.8267333
21.0010333,105.8269667
21.0010000,105.8272000
21.0009833,105.8274000
21.0009167,105.8276167
21.0008833,105.8278167
21.0008667,105.8279667
21.0008500,105.8280833
21.0008167,105.8281500
21.0008000,105.8282000
21.0007667,105.8282500
21.0007167,105.8282667
21.0006500,105.8282833
21.0006167,105.8283000
21.0006000,105.8283167
21.0005667,105.8283500
21.0005667,105.8283667
21.0005500,105.8284167
21.0005333,105.8284667
21.0005000,105.8285667
21.0004667,105.8286833
21.0004333,105.8287333
21.0004167,105.8288000
21.0004000,105.8288500
21.0003500,105.8289000
